"from_node","to_node","lcp_length_m","lcp_cost"
2831,2897,3486.76190233248,337030.083896637
2831,2901,1516.69047558312,60276.9557533264
2907,2915,932.132034355964,22583.9398841858
2950,2972,1034.55844122716,27860.1272621155
2957,3033,586.690475583121,10273.0250740051
3008,3068,644.558441227157,11361.6560249329
3055,3098,586.690475583121,10273.0250740051
3057,3123,1118.52813742386,36749.1539344788
2901,3061,4288.59956417322,507503.87430191
3155,3191,759.411254969543,15943.8310585022
3184,3519,2033.08657865101,115353.10464859
2972,3202,3782.86363288514,412599.45230484
3123,3226,1580.07142674936,73905.0428504944
3155,3250,720,13461.67578125
3254,3291,1676.10173055266,77153.9278297424
3266,3299,921.837661840736,23118.3818092346
3271,3451,1626.39610306789,70721.2521095276
3293,3377,690,12361.793548584
3307,3383,948.822509939086,26356.1651954651
3315,3419,1168.23376490863,40486.4558296204
3317,3419,1076.10173055266,33998.3845863342
3333,3377,1196.98484809835,37219.4889564514
3254,3369,1783.67532368147,85851.8103981018
3333,3372,1740,76867.6697692871
3377,3380,542.132034355964,8096.11053848267
3381,3412,1943.08657865101,106138.897983551
3393,3425,872.132034355964,19857.6615943909
3406,3529,847.279220613579,18472.739200592
3431,3521,1253.9696961967,43298.8573951721
3441,3815,2477.05627484771,176674.237766266
3449,3504,1164.85281374239,34361.6248054504
3451,3502,793.675323681471,18829.4566612244
3425,3464,1512.42640687119,57638.889919281
3471,4669,2726.46752981725,216118.257724762
3482,3955,1793.08657865101,91521.2249488831
3502,3516,702.426406871193,12582.9529380798
3381,3510,2299.70562748477,133360.303073883
3519,3743,1129.70562748477,32664.5855751038
3521,3578,1046.98484809835,28748.3165016174
3317,3552,2421.32034355964,172925.73645401
3622,3645,544.264068711929,8840.94507217407
3630,3697,909.411254969543,22244.9071083069
3634,3790,1658.52813742386,76282.4573097229
3643,3649,1129.70562748477,32664.5855751038
3649,3656,1860.36579926459,99459.0949440002
3680,3710,594.852813742386,9146.51155471802
3687,3767,1457.9393923934,62626.3002357483
3688,3761,1203.38095116624,42582.0447120667
3656,3689,3799.55410846826,423146.366306305
3529,3713,2321.9090885901,157355.603610992
3761,3914,1076.98484809835,30357.8152198792
3767,3866,847.279220613579,18472.739200592
3786,3847,2452.20346110532,172236.955234528
3790,3811,524.558441227157,7816.66182327271
3798,4198,2089.18830920368,129112.645694733
3800,3902,649.705627484771,11152.5926551819
3800,3812,1232.13203435596,38915.3317909241
3813,3861,1844.55844122716,86430.3454627991
3710,3819,1531.24891681028,64266.632358551
3843,3866,930,22240.8514099121
3844,3965,1563.38095116624,69396.960849762
3847,4171,1629.77705423413,78669.6732559204
3856,3964,1695.80735803743,81142.1251564026
3861,3955,1618.23376490863,74870.380405426
3873,3926,934.264068711929,24038.7606544495
3875,3914,614.558441227157,10412.138507843
3441,3888,2766.39610306789,196293.59280777
