"species","period","from_id","to_id","area_i_ha","area_j_ha","length_km","cost_mean","cost_max"
"GEN","Early",4766,5136,1130.1806912519,13.7804736018223,1.76308657865101,71.2784044265747,144.832229614258
"GEN","Early",4769,4925,102.841085555502,7.5645296981603,1.10485281374239,134.805104980469,273.661346435547
"GEN","Early",4779,4904,34.0397828730854,8.82516222386109,1.02639610306789,107.296499786377,260.091125488281
"GEN","Early",4783,4971,101.132087472677,11.4369901776994,1.11338095116624,126.044481124878,269.846435546875
"GEN","Early",4811,5220,661.46520124223,7.47468229448898,1.45669047558312,75.5783267593384,210.495315551758
"GEN","Early",4825,4827,8.01633930816321,7.5659860061023,0.439705627484771,112.072267456055,205.259994506836
"GEN","Early",4842,4863,869.443605814817,10.8084191342187,5.15595021153615,314.271223106384,711.997680664062
"GEN","Early",4857,4917,6.6640283902459,7.56459688807306,0.886690475583121,162.391804962158,335.107025146484
"GEN","Early",4825,4859,8.01633930816321,20.2660206063285,0.694264068711929,94.4895817565918,184.18115234375
"GEN","Early",4744,4863,26.6608414948944,10.8084191342187,2.24610173055266,147.404099998474,340.849060058594
"GEN","Early",4577,4868,149.878159314059,14.0510608660666,1.80977705423413,100.92873878479,320.930694580078
"GEN","Early",4917,5011,7.56459688807306,15.9396946897134,0.799705627484771,99.1362771606445,175.068450927734
"GEN","Early",4925,5033,7.5645296981603,8.73523452867723,0.847279220613579,153.451500091553,299.094879150391
"GEN","Early",4933,5041,8.82700881533294,16.663203749598,2.30823376490863,391.710093460083,909.979797363281
"GEN","Early",4971,5011,11.4369901776994,15.9396946897134,0.821543289325507,126.706736984253,184.584121704102
"GEN","Early",4771,4994,52.1499140499388,40.8912951619842,1.57242640687119,144.93786857605,300.546783447266
"GEN","Early",5006,5041,18.014267475694,16.663203749598,0.599116882454314,105.531475753784,176.287124633789
"GEN","Early",5029,5472,138.260134797363,5.31422983511966,2.39735064736294,279.269422607422,654.807983398438
"GEN","Early",5033,5071,8.73523452867723,24.4947906525826,1.13183766184074,159.944312324524,346.232757568359
